Mixer/OpenDumpValve;Mixer/Level;Mixer/InFlow;Mixer/InFlowTemp;Mixer/Temperature;Mixer/OutFlowTemp;Mixer/OpenOutlet;Mixer/OutFlow;Mixer/Fill1On;Mixer/Fill2On;Mixer/Fill3On;Mixer/TurnMixerOn;Mixer/MixerIsOn;T1/OpenDumpValve;T1/Level;T1/InFlow;T1/OpenOutlet;T1/OutFlow;T1/HeaterOn;T1/InFlowTemp;T1/OutFlowTemp;T1/Temperature;T1/CoolerOn;Timestamp;Anomaly;Parameter for Anomaly;Actual value;Run id
0;0;0.01;0;277.48430670052034;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277.3124887676968;0;2022 - 06 - 29_123829.776;-;;0;2,02206E+13
0;0.0011510144653929895;0.01;277;277.4770808238429;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277.1141888390361;0;2022 - 06 - 29_123829.885;-;;0;2,02206E+13
0;0.0031852380197690783;0.01;277;277.4868636792464;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277.40643901326996;0;2022 - 06 - 29_123829.996;-;;0;2,02206E+13
0;0.004486212433372321;0.01;277;277.16877343397067;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276.7752373005614;0;2022 - 06 - 29_123830.107;-;;0;2,02206E+13
0;0.0052602691535250205;0.01;277;276.9970715141376;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276.9778447232572;0;2022 - 06 - 29_123830.218;-;;0;2,02206E+13
0;0.0077815785525243136;0.01;277;276.78222675914054;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.408449751748;0;2022 - 06 - 29_123830.328;-;;0;2,02206E+13
0;0.009698726698974612;0.01;277;276.75598932162677;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;276.50397966243514;0;2022 - 06 - 29_123830.432;-;;0;2,02206E+13
0;0.00829825180789777;0.01;277;277.2752847521451;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;276.94756919026725;0;2022 - 06 - 29_123830.546;-;;0;2,02206E+13
0;0.012081377090238224;0.01;277;276.84489831949816;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.19838325944653;0;2022 - 06 - 29_123830.655;-;;0;2,02206E+13
0;0.009869172434683228;0.01;277;276.90941611649913;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.1800112592429;0;2022 - 06 - 29_123830.765;-;;0;2,02206E+13
0;0.012846711049382805;0.01;277;277.02135249437833;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;276.8030599007863;0;2022 - 06 - 29_123830.872;-;;0;2,02206E+13
0;0.01430813005378949;0.01;277;276.99537033750465;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.0276259940712;0;2022 - 06 - 29_123830.981;-;;0;2,02206E+13
0;0.014515246934050596;0.01;277;277.0651052350017;277.0000000000001;0;0;1;0;0;0;0;0;0;0;0;0;0;277.0000000000001;277;277.04364497472704;0;2022 - 06 - 29_123831.093;-;;0;2,02206E+13
0;0.019375370522399567;0.01;277;277.19779154038895;277.0000000000001;0;0;1;0;0;0;0;0;0;0;0;0;0;277.0000000000001;277;276.5575831020519;0;2022 - 06 - 29_123831.202;-;;0;2,02206E+13
0;0.016834445368327084;0.01;277;277.30001315185814;277.0000000000001;0;0;1;0;0;0;0;0;0;0;0;0;0;277.0000000000001;277;276.7042227705029;0;2022 - 06 - 29_123831.312;-;;0;2,02206E+13
0;0.01841215770532742;0.01;277;277.46036499597164;277.00000000000017;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000017;277;277.34063555385944;0;2022 - 06 - 29_123831.420;-;;0;2,02206E+13
0;0.019356584353796506;0.01;277;277.27531598078815;277.00000000000017;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000017;277;277.43681635658106;0;2022 - 06 - 29_123831.529;-;;0;2,02206E+13
0;0.021100839663312432;0.01;277;276.9587920403383;277.00000000000017;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000017;277;276.7646854539703;0;2022 - 06 - 29_123831.640;-;;0;2,02206E+13
0;0.02636198148116134;0.01;277;277.41271221773377;277.00000000000017;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000017;277;277.3629250558386;0;2022 - 06 - 29_123831.749;-;;0;2,02206E+13
0;0.028133057791191268;0.01;277;277.4211316611252;277.0000000000001;0;0;1;0;0;0;0;0;0;0;0;0;0;277.0000000000001;277;277.27089124674484;0;2022 - 06 - 29_123831.857;-;;0;2,02206E+13
0;0.024815209796597616;0.01;277;276.8729523906359;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.0839607248008;0;2022 - 06 - 29_123831.964;-;;0;2,02206E+13
0;0.029063809063522964;0.01;277;276.8155691369044;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;276.999424479203;0;2022 - 06 - 29_123832.076;-;;0;2,02206E+13
0;0.027534800686109407;0.01;277;277.38168190507304;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;277.317304608327;0;2022 - 06 - 29_123832.184;-;;0;2,02206E+13
0;0.032953994643481775;0.01;277;276.95691815552163;277.00000000000006;0;0;1;0;0;0;0;0;0;0;0;0;0;277.00000000000006;277;276.5454991716172;0;2022 - 06 - 29_123832.291;-;;0;2,02206E+13
