Mixer/OpenDumpValve;Mixer/Level;Mixer/InFlow;Mixer/InFlowTemp;Mixer/Temperature;Mixer/OutFlowTemp;Mixer/OpenOutlet;Mixer/OutFlow;Mixer/Fill1On;Mixer/Fill2On;Mixer/Fill3On;Mixer/TurnMixerOn;Mixer/MixerIsOn;T1/OpenDumpValve;T1/Level;T1/InFlow;T1/OpenOutlet;T1/OutFlow;T1/HeaterOn;T1/InFlowTemp;T1/OutFlowTemp;T1/Temperature;T1/CoolerOn;Timestamp;Anomaly;Parameter for Anomaly;Actual value;Run id
0;0;0,01;0;277,335493;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8701385;0;2022 - 06 - 18_100618.227;-;;0;2,02E+13
0;0,003206902;0,01;277;277,2554468;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6716699;0;2022 - 06 - 18_100618.341;-;;0;2,02E+13
0;0,00201075;0,01;277;277,2426374;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8506221;0;2022 - 06 - 18_100618.450;-;;0;2,02E+13
0;0,0033337;0,01;277;276,878597;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9400324;0;2022 - 06 - 18_100618.554;-;;0;2,02E+13
0;0,004744464;0,01;277;277,1862078;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6000285;0;2022 - 06 - 18_100618.667;-;;0;2,02E+13
0;0,005172139;0,01;277;276,7785594;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,3608372;0;2022 - 06 - 18_100618.778;-;;0;2,02E+13
0;0,006091947;0,01;277;277,1187246;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8185202;0;2022 - 06 - 18_100618.888;-;;0;2,02E+13
0;0,011850701;0,01;277;276,5494596;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,918474;0;2022 - 06 - 18_100618.994;-;;0;2,02E+13
0;0,012217558;0,01;277;276,6412689;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9556614;0;2022 - 06 - 18_100619.103;-;;0;2,02E+13
0;0,01161412;0,01;277;277,0819214;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7283171;0;2022 - 06 - 18_100619.216;-;;0;2,02E+13
0;0,014496256;0,01;277;277,4655248;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,4339402;0;2022 - 06 - 18_100619.326;-;;0;2,02E+13
0;0,012675506;0,01;277;277,2078117;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8046868;0;2022 - 06 - 18_100619.435;-;;0;2,02E+13
0;0,018101445;0,01;277;277,0619851;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,4610723;0;2022 - 06 - 18_100619.540;-;;0;2,02E+13
0;0,01572653;0,01;277;277,090267;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6804596;0;2022 - 06 - 18_100619.648;-;;0;2,02E+13
0;0,016648294;0,01;277;276,9611668;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,2965161;0;2022 - 06 - 18_100619.758;-;;0;2,02E+13
0;0,022605864;0,01;277;276,9486054;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7358933;0;2022 - 06 - 18_100619.869;-;;0;2,02E+13
0;0,019245435;0,01;277;277,4242708;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,182267;0;2022 - 06 - 18_100619.976;-;;0;2,02E+13
0;0,025349654;0,01;277;276,6812948;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,1448821;0;2022 - 06 - 18_100620.091;-;;0;2,02E+13
0;0,025919762;0,01;277;277,3128599;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9531769;0;2022 - 06 - 18_100620.200;-;;0;2,02E+13
0;0,023762369;0,01;277;276,7023788;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9176437;0;2022 - 06 - 18_100620.311;-;;0;2,02E+13
0;0,025902519;0,01;277;276,948729;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,0320699;0;2022 - 06 - 18_100620.417;-;;0;2,02E+13
0;0,027967073;0,01;277;276,953405;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,0726828;0;2022 - 06 - 18_100620.526;-;;0;2,02E+13
0;0,031732876;0,01;277;276,5738046;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,155468;0;2022 - 06 - 18_100620.637;-;;0;2,02E+13
0;0,03236717;0,01;277;277,3066264;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,4741863;0;2022 - 06 - 18_100620.742;-;;0;2,02E+13
0;0,032630124;0,01;277;276,5472652;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6263249;0;2022 - 06 - 18_100620.856;-;;0;2,02E+13
0;0,03360701;0,01;277;277,0721365;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9219942;0;2022 - 06 - 18_100620.966;-;;0;2,02E+13
0;0,033084841;0,01;277;277,2766884;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,5451759;0;2022 - 06 - 18_100621.070;-;;0;2,02E+13
0;0,034295225;0,01;277;276,5966289;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6316097;0;2022 - 06 - 18_100621.180;-;;0;2,02E+13
0;0,036628611;0,01;277;277,0573724;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,2205463;0;2022 - 06 - 18_100621.290;-;;0;2,02E+13
0;0,038566867;0,01;277;276,8735933;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7446329;0;2022 - 06 - 18_100621.404;-;;0;2,02E+13
0;0,040404177;0,01;277;277,1322632;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,4133927;0;2022 - 06 - 18_100621.507;-;;0;2,02E+13
0;0,044172066;0,01;277;277,4958129;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,1277749;0;2022 - 06 - 18_100621.618;-;;0;2,02E+13
0;0,04209012;0,01;277;276,9253541;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,0325173;0;2022 - 06 - 18_100621.726;-;;0;2,02E+13
0;0,044852902;0,01;277;277,4857347;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,5521818;0;2022 - 06 - 18_100621.838;-;;0;2,02E+13
0;0,044592698;0,01;277;277,1147338;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9292051;0;2022 - 06 - 18_100621.947;-;;0;2,02E+13
0;0,046278384;0,01;277;277,1587874;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7978956;0;2022 - 06 - 18_100622.057;-;;0;2,02E+13
0;0,049626791;0,01;277;276,8755466;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7496329;0;2022 - 06 - 18_100622.167;-;;0;2,02E+13
0;0,050203667;0,01;277;277,1338582;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6098678;0;2022 - 06 - 18_100622.273;-;;0;2,02E+13
0;0,050277395;0,01;277;276,9690521;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8476585;0;2022 - 06 - 18_100622.382;-;;0;2,02E+13
0;0,050479155;0,01;277;277,2871422;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,2469531;0;2022 - 06 - 18_100622.496;-;;0;2,02E+13
0;0,053568166;0,01;277;276,7283783;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9096283;0;2022 - 06 - 18_100622.608;-;;0;2,02E+13
0;0,055317533;0,01;277;276,5105679;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,3404275;0;2022 - 06 - 18_100622.713;-;;0;2,02E+13
0;0,05776409;0,01;277;276,6269595;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,1817227;0;2022 - 06 - 18_100622.821;-;;0;2,02E+13
0;0,058995425;0,01;277;277,2077048;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9657106;0;2022 - 06 - 18_100622.935;-;;0;2,02E+13
0;0,058277372;0,01;277;277,4005486;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9400259;0;2022 - 06 - 18_100623.038;-;;0;2,02E+13
0;0,059506553;0,01;277;277,3041502;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,9233001;0;2022 - 06 - 18_100623.154;-;;0;2,02E+13
0;0,063448143;0,01;277;276,8182312;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8258537;0;2022 - 06 - 18_100623.263;-;;0;2,02E+13
0;0,065232099;0,01;277;276,6077727;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,6292037;0;2022 - 06 - 18_100623.367;-;;0;2,02E+13
0;0,06533248;0,01;277;277,4541475;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,522983;0;2022 - 06 - 18_100623.476;-;;0;2,02E+13
0;0,068111005;0,01;277;277,4086116;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,0188201;0;2022 - 06 - 18_100623.587;-;;0;2,02E+13
0;0,066825994;0,01;277;277,2708638;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,2514583;0;2022 - 06 - 18_100623.689;-;;0;2,02E+13
0;0,071109793;0,01;277;276,8804159;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,1522116;0;2022 - 06 - 18_100623.801;-;;0;2,02E+13
0;0,070562018;0,01;277;277,427552;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7771995;0;2022 - 06 - 18_100623.915;-;;0;2,02E+13
0;0,073077903;0,01;277;276,9630843;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,2623803;0;2022 - 06 - 18_100624.026;-;;0;2,02E+13
0;0,071794231;0,01;277;277,2255273;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,3010608;0;2022 - 06 - 18_100624.132;-;;0;2,02E+13
0;0,074994622;0,01;277;276,5787742;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,3442821;0;2022 - 06 - 18_100624.243;-;;0;2,02E+13
0;0,076389839;0,01;277;276,9212823;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,7911285;0;2022 - 06 - 18_100624.352;-;;0;2,02E+13
0;0,07678549;0,01;277;276,9227164;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8844814;0;2022 - 06 - 18_100624.466;-;;0;2,02E+13
0;0,076703484;0,01;277;276,7686867;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,034142;0;2022 - 06 - 18_100624.570;-;;0;2,02E+13
0;0,079438741;0,01;277;277,0207964;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,3717856;0;2022 - 06 - 18_100624.685;-;;0;2,02E+13
0;0,079304494;0,01;277;276,6455793;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,8075826;0;2022 - 06 - 18_100624.795;-;;0;2,02E+13
0;0,083657204;0,01;277;277,4677597;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;276,962273;0;2022 - 06 - 18_100624.904;-;;0;2,02E+13
0;0,085738628;0,01;277;276,9779177;277;0;0;1;0;0;0;0;0;0;0;0;0;0;277;277;277,0334676;0;2022 - 06 - 18_100625.008;-;;0;2,02E+13
